,month,week,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,3,10,3/1/2020,-4908.62,-6211.44,2541.48,-4908.62,-4908.62,3139.28,3139.28,3139.28,1369.09,1369.09,1369.09,2585.78,2585.78,2585.78,-815.59,-815.59,-815.59,0,0,0,-1769.34
1,3,10,3/2/2020,-4458.31,-1342.3,7645.86,-4458.31,-4458.31,7580.98,7580.98,7580.98,4158.38,4158.38,4158.38,3480.37,3480.37,3480.37,-57.76,-57.76,-57.76,0,0,0,3122.66
2,3,10,3/3/2020,-4008.01,-4679.31,4140.36,-4008.01,-4008.01,3899.83,3899.83,3899.83,4414.63,4414.63,4414.63,-1126.06,-1126.06,-1126.06,611.27,611.27,611.27,0,0,0,-108.17
3,3,10,3/4/2020,-3557.7,-7593.09,1434.72,-3557.7,-3557.7,765.18,765.18,765.18,3821.75,3821.75,3821.75,-4235.89,-4235.89,-4235.89,1179.32,1179.32,1179.32,0,0,0,-2792.52
4,3,10,3/5/2020,-3107.39,-5160.23,4115.4,-3107.39,-3107.39,2825.65,2825.65,2825.65,2938.53,2938.53,2938.53,-1751.21,-1751.21,-1751.21,1638.33,1638.33,1638.33,0,0,0,-281.75
5,3,10,3/6/2020,-2657.09,-5555.02,3490.52,-2657.09,-2657.09,1530.53,1530.53,1530.53,-128.62,-128.62,-128.62,-325.4,-325.4,-325.4,1984.54,1984.54,1984.54,0,0,0,-1126.56
6,3,10,3/7/2020,-2206.78,-4969.15,4250,-2206.78,-2206.78,1751.19,1751.19,1751.19,-1839.74,-1839.74,-1839.74,1372.4,1372.4,1372.4,2218.52,2218.52,2218.52,0,0,0,-455.59
7,3,11,3/8/2020,-1756.47,-1584.55,7293.25,-1756.47,-1756.47,4702.38,4702.38,4702.38,-228.44,-228.44,-228.44,2585.78,2585.78,2585.78,2345.04,2345.04,2345.04,0,0,0,2945.91
8,3,11,3/9/2020,-1306.16,559.72,9425.84,-1306.16,-1306.16,6231.9,6231.9,6231.9,378.68,378.68,378.68,3480.37,3480.37,3480.37,2372.85,2372.85,2372.85,0,0,0,4925.74
9,3,11,3/10/2020,-855.86,-4349.85,4970.36,-855.86,-855.86,1124.78,1124.78,1124.78,-63.47,-63.47,-63.47,-1126.06,-1126.06,-1126.06,2314.31,2314.31,2314.31,0,0,0,268.92
